 vacas_prenadas_calcular2025-01-11 10:25:43,347 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,508 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,510 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,512 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,514 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,516 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,517 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,519 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,520 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,522 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,523 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,525 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,527 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,528 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,530 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,531 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,533 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,535 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,536 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,538 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,539 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,541 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,543 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,544 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,546 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,547 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,549 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,551 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,552 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,554 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,556 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,557 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,559 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,560 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,562 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,564 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
